"","Name","Longitude","Latitude","Population"
"1","Kahlotus, Washington",-118.5566,46.6436,189
"2","Washtucna, Washington",-118.3104,46.7539,195
"3","Toledo, Washington",-122.8494,46.4412,738
"4","Renton, Washington",-122.1904,47.4757,100953
"5","Chehalis, Washington",-122.966,46.6649,7498
"6","Waverly, Washington",-117.2313,47.338,110
"7","Mercer Island, Washington",-122.2265,47.5624,25134
"8","Lynnwood, Washington",-122.3034,47.8285,38092
"9","Coulee City, Washington",-119.289,47.6123,569
"10","Centralia, Washington",-122.9695,46.7226,41077
"11","Mountlake Terrace, Washington",-122.3077,47.7921,21182
"12","Ilwaco, Washington",-124.0417,46.3099,929
"13","Oakesdale, Washington",-117.2465,47.1304,435
"14","Seattle, Washington",-122.3238,47.6217,3541236
"15","George, Washington",-119.8601,47.0847,495
"16","Index, Washington",-121.556,47.8214,199
"17","Rosalia, Washington",-117.3762,47.2365,565
"18","Liberty Lake, Washington",-117.1031,47.6687,9209
"19","Airway Heights, Washington",-117.5802,47.6464,6672
"20","Reardan, Washington",-117.8778,47.67,567
"21","Brier, Washington",-122.2736,47.7924,6743
"22","Port Townsend, Washington",-122.7873,48.1219,8782
"23","Waterville, Washington",-120.0707,47.648,1181
"24","Hamilton, Washington",-121.9837,48.5281,299
"25","Oak Harbor, Washington",-122.6331,48.2965,34689
"26","Naches, Washington",-120.6941,46.727,823
"27","Anacortes, Washington",-122.6291,48.4878,17667
"28","Kettle Falls, Washington",-118.0612,48.6055,1604
"29","Electric City, Washington",-119.0476,47.9222,1001
"30","Kalama, Washington",-122.8369,46.0115,3508
"31","Grandview, Washington",-119.9082,46.2432,18909
"32","Winthrop, Washington",-120.179,48.4719,430
"33","Spangle, Washington",-117.3813,47.4297,297
"34","Quincy, Washington",-119.8512,47.2342,7644
"35","Starbuck, Washington",-118.1251,46.5184,126
"36","Kelso, Washington",-122.8907,46.1249,12047
"37","Cheney, Washington",-117.5789,47.49,12213
"38","Woodway, Washington",-122.3849,47.7906,1377
"39","Lacey, Washington",-122.7933,47.0444,47688
"40","Harrah, Washington",-120.5422,46.407,624
"41","South Bend, Washington",-123.8016,46.6683,1636
"42","Warden, Washington",-119.0512,46.9682,2706
"43","Selah, Washington",-120.5388,46.648,7768
"44","Sultan, Washington",-121.8036,47.8703,8681
"45","Edmonds, Washington",-122.3534,47.8114,41840
"46","Zillah, Washington",-120.273,46.4085,3144
"47","Lake Forest Park, Washington",-122.2877,47.7592,13266
"48","Albion, Washington",-117.2506,46.792,591
"49","Skykomish, Washington",-121.3585,47.7103,206
"50","Yakima, Washington",-120.5492,46.5926,133687
"51","Pacific, Washington",-122.2507,47.261,7122
"52","Eatonville, Washington",-122.2697,46.8682,3005
"53","Tenino, Washington",-122.8603,46.8538,1819
"54","Raymond, Washington",-123.7375,46.6841,4066
"55","Roy, Washington",-122.5424,46.9971,822
"56","Snoqualmie, Washington",-121.8409,47.5292,25455
"57","Lynden, Washington",-122.4542,48.9502,16966
"58","Everson, Washington",-122.3509,48.9124,4596
"59","Federal Way, Washington",-122.3358,47.3091,96757
"60","Hartline, Washington",-119.1081,47.6894,155
"61","Sumas, Washington",-122.2695,48.9955,1409
"62","Mill Creek, Washington",-122.2037,47.8631,20303
"63","Lakewood, Washington",-122.5299,47.1627,60665
"64","Port Angeles, Washington",-123.4565,48.1141,23818
"65","Wapato, Washington",-120.4213,46.4435,7723
"66","Medical Lake, Washington",-117.6896,47.5713,4825
"67","Lyman, Washington",-122.0634,48.523,454
"68","Arlington, Washington",-122.144,48.1698,19112
"69","Ruston, Washington",-122.5104,47.2982,816
"70","McCleary, Washington",-123.2725,47.0584,1630
"71","Sammamish, Washington",-122.0446,47.6045,63773
"72","Covington, Washington",-122.105,47.3665,20478
"73","Wenatchee, Washington",-120.329,47.4251,71426
"74","Mattawa, Washington",-119.9023,46.7365,4961
"75","Colton, Washington",-117.1284,46.5677,466
"76","Cle Elum, Washington",-120.9575,47.1937,3685
"77","Omak, Washington",-119.5178,48.4214,8208
"78","Harrington, Washington",-118.2555,47.4799,401
"79","Sedro-Woolley, Washington",-122.2344,48.5095,11476
"80","Roslyn, Washington",-121.0992,47.2511,927
"81","Deer Park, Washington",-117.4398,47.9642,3780
"82","Hunts Point, Washington",-122.2289,47.6418,439
"83","Chewelah, Washington",-117.7337,48.2929,2635
"84","Sunnyside, Washington",-120.0058,46.3159,17931
"85","Normandy Park, Washington",-122.3436,47.4344,6651
"86","Forks, Washington",-124.3906,47.9526,4219
"87","SeaTac, Washington",-122.2985,47.4444,28873
"88","Royal City, Washington",-119.6143,46.9,2196
"89","Beaux Arts Village, Washington",-122.2009,47.5853,326
"90","Steilacoom, Washington",-122.5938,47.1702,6309
"91","Northport, Washington",-117.7799,48.9158,290
"92","Ridgefield, Washington",-122.7053,45.8112,6318
"93","Creston, Washington",-118.5199,47.7596,218
"94","Soap Lake, Washington",-119.4905,47.3884,1571
"95","Clyde Hill, Washington",-122.218,47.6303,3268
"96","Grand Coulee, Washington",-119.003,47.9388,1044
"97","Kennewick, Washington",-119.1732,46.1979,229624
"98","Carbonado, Washington",-122.0537,47.0805,663
"99","Pullman, Washington",-117.1634,46.7327,33204
"100","Longview, Washington",-122.9642,46.1471,65156
"101","West Richland, Washington",-119.3996,46.3115,14198
"102","Sprague, Washington",-117.9757,47.3003,427
"103","Cosmopolis, Washington",-123.7727,46.9541,1601
"104","North Bonneville, Washington",-121.9695,45.6426,980
"105","Pomeroy, Washington",-117.5971,46.4739,1410
"106","Colville, Washington",-117.8975,48.545,5088
"107","Medina, Washington",-122.2338,47.6257,3246
"108","Algona, Washington",-122.2504,47.2819,3156
"109","Black Diamond, Washington",-122.0181,47.313,4384
"110","Gold Bar, Washington",-121.6919,47.8562,2131
"111","Mesa, Washington",-119.0013,46.5736,486
"112","La Conner, Washington",-122.4945,48.3925,3464
"113","Stevenson, Washington",-121.8933,45.6944,1527
"114","Malden, Washington",-117.4732,47.2296,205
"115","Prosser, Washington",-119.7659,46.2065,6040
"116","Maple Valley, Washington",-122.037,47.3664,25698
"117","Auburn, Washington",-122.2108,47.3039,77472
"118","Burlington, Washington",-122.3298,48.4676,8768
"119","Connell, Washington",-118.8403,46.6627,5243
"120","Kittitas, Washington",-120.4198,46.9844,1439
"121","Bucoda, Washington",-122.8679,46.7969,575
"122","Bainbridge Island, Washington",-122.5434,47.6439,24404
"123","Republic, Washington",-118.733,48.6485,1069
"124","Odessa, Washington",-118.6893,47.3326,869
"125","Edgewood, Washington",-122.2832,47.2309,10734
"126","Shoreline, Washington",-122.3425,47.7563,55333
"127","Cusick, Washington",-117.2963,48.3327,208
"128","Concrete, Washington",-121.7511,48.5371,724
"129","Langley, Washington",-122.408,48.0336,1097
"130","Othello, Washington",-119.1654,46.8226,12324
"131","Colfax, Washington",-117.3386,46.9032,2806
"132","Metaline, Washington",-117.3898,48.8539,172
"133","Millwood, Washington",-117.2805,47.6858,1787
"134","Prescott, Washington",-118.3126,46.2989,304
"135","Buckley, Washington",-122.02,47.1614,4682
"136","University Place, Washington",-122.5461,47.2146,33288
"137","Morton, Washington",-122.2815,46.5576,1145
"138","Palouse, Washington",-117.0753,46.9103,1045
"139","Vader, Washington",-122.9569,46.4046,629
"140","Asotin, Washington",-117.043,46.3372,1295
"141","Poulsbo, Washington",-122.6408,47.7417,10400
"142","Hoquiam, Washington",-123.9006,46.9857,8434
"143","Nespelem, Washington",-118.9724,48.1669,283
"144","Ephrata, Washington",-119.5342,47.3119,7289
"145","Kent, Washington",-122.2128,47.3887,127514
"146","Mukilteo, Washington",-122.3035,47.9096,21462
"147","Kirkland, Washington",-122.1982,47.6996,87701
"148","Waitsburg, Washington",-118.1499,46.2696,1187
"149","Redmond, Washington",-122.1176,47.6776,62458
"150","Wilkeson, Washington",-122.0496,47.1034,492
"151","Granger, Washington",-120.1928,46.3459,3493
"152","Yarrow Point, Washington",-122.2178,47.6452,1096
"153","Oakville, Washington",-123.2348,46.8402,665
